domain_alexa_rank,domain,largest_public_network
59926,creativecircle.com,64.4.22.64/2
68649,uwcu.org,139.131.76.84/5
75404,gevestor.de,91.241.72.0/2
192594,calumetphoto.de,66.50.196.112/6
195027,studioserver.com.br,107.181.135.0/4
242611,hitadouble.com,208.67.207.0/0
260363,odakitap.com,213.155.112.82/3
267315,debeersgroup.com,10.47.149.168/2
325031,tickeri.com,208.43.239.136/3
366874,ferias.tur.br,107.181.135.0/4
375188,cfe.fr,82.97.62.0/2
379462,eganba.com,213.155.112.82/3
393462,adecco.com,148.105.8.0/2
400187,payukraine.com,0.0.0.0/0
495383,scrum-institute.org,69.89.18.3/4
512462,whofish.org,96.114.154.158/5
559343,test-institute.org,69.89.18.3/4
619752,salaam.af,175.106.32.0/1
731874,themamamaven.com,64.90.177.24/7
759160,angliss.edu.au,0.0.0.0/0
873242,hutkigrosh.by,0.0.0.0/0
